t_s,wall,phase,p50_ms,p99_ms,ops
2.0,2026-06-17T04:03:39.718230+00:00,baseline,4.124,7.604,211
4.0,2026-06-17T04:03:41.739378+00:00,baseline,3.267,6.96,566
7.1,2026-06-17T04:03:44.765755+00:00,baseline,3.026,6.744,604
9.1,2026-06-17T04:03:46.769808+00:00,baseline,3.84,6.922,503
11.1,2026-06-17T04:03:48.774180+00:00,baseline,3.052,6.628,595
13.1,2026-06-17T04:03:50.808781+00:00,baseline,3.29,5.828,271
15.1,2026-06-17T04:03:52.809913+00:00,baseline,3.009,6.773,631
17.1,2026-06-17T04:03:54.812292+00:00,baseline,3.83,6.772,508
19.1,2026-06-17T04:03:56.816956+00:00,baseline,3.892,6.822,224
21.1,2026-06-17T04:03:58.819578+00:00,baseline,3.021,6.446,641
23.1,2026-06-17T04:04:00.822941+00:00,baseline,4.855,7.425,407
25.1,2026-06-17T04:04:02.832621+00:00,baseline,4.065,6.508,224
27.1,2026-06-17T04:04:04.833901+00:00,baseline,4.324,7.212,463
29.1,2026-06-17T04:04:06.835560+00:00,baseline,4.313,7.551,452
31.1,2026-06-17T04:04:08.854435+00:00,baseline,3.183,6.703,260
33.1,2026-06-17T04:04:10.859784+00:00,baseline,4.508,7.46,437
35.2,2026-06-17T04:04:12.864903+00:00,baseline,3.987,7.29,509
37.2,2026-06-17T04:04:14.866693+00:00,baseline,3.53,15.346,240
39.2,2026-06-17T04:04:16.869712+00:00,baseline,4.191,6.751,479
41.2,2026-06-17T04:04:18.872852+00:00,baseline,3.416,7.464,563
43.2,2026-06-17T04:04:20.873591+00:00,baseline,4.724,7.11,198
45.2,2026-06-17T04:04:22.875480+00:00,baseline,3.859,7.426,523
47.2,2026-06-17T04:04:24.878327+00:00,baseline,3.148,7.555,592
49.2,2026-06-17T04:04:26.879853+00:00,baseline,4.179,8.227,230
51.2,2026-06-17T04:04:28.880402+00:00,baseline,3.11,6.729,607
53.2,2026-06-17T04:04:30.883498+00:00,baseline,4.567,7.728,435
55.2,2026-06-17T04:04:32.885150+00:00,baseline,4.866,7.626,177
57.2,2026-06-17T04:04:34.891219+00:00,baseline,4.361,7.805,443
59.2,2026-06-17T04:04:36.894536+00:00,baseline,4.462,7.891,441
61.6,2026-06-17T04:04:39.289150+00:00,fault,3.482,7.639,227
63.7,2026-06-17T04:04:41.410036+00:00,fault,7.052,68.761,214
65.7,2026-06-17T04:04:43.411641+00:00,fault,7.026,51.436,185
67.7,2026-06-17T04:04:45.459149+00:00,fault,7.18,128.593,63
69.7,2026-06-17T04:04:47.463542+00:00,fault,7.273,29.968,152
71.8,2026-06-17T04:04:49.465635+00:00,fault,8.05,33.693,128
73.9,2026-06-17T04:04:51.569340+00:00,fault,12.227,409.69,31
75.9,2026-06-17T04:04:53.590684+00:00,fault,10.555,29.039,149
77.9,2026-06-17T04:04:55.593286+00:00,fault,14.288,94.751,92
80.7,2026-06-17T04:04:58.400332+00:00,fault,19.668,468.128,48
82.7,2026-06-17T04:05:00.405060+00:00,fault,19.86,29.942,111
85.8,2026-06-17T04:05:03.557087+00:00,fault,19.996,27.208,72
87.9,2026-06-17T04:05:05.574042+00:00,fault,20.419,90.501,85
89.9,2026-06-17T04:05:07.589906+00:00,fault,19.042,24.431,105
91.9,2026-06-17T04:05:09.598271+00:00,fault,19.07,23.052,47
93.9,2026-06-17T04:05:11.616001+00:00,fault,19.043,22.913,105
95.9,2026-06-17T04:05:13.634303+00:00,fault,19.073,21.201,105
97.9,2026-06-17T04:05:15.643266+00:00,fault,18.894,21.603,46
99.9,2026-06-17T04:05:17.648634+00:00,fault,18.982,22.916,104
102.0,2026-06-17T04:05:19.664417+00:00,fault,19.24,21.547,104
104.0,2026-06-17T04:05:21.681236+00:00,fault,18.968,22.14,47
106.0,2026-06-17T04:05:23.683004+00:00,fault,19.038,22.8,104
108.0,2026-06-17T04:05:25.700556+00:00,fault,18.9,21.943,106
110.0,2026-06-17T04:05:27.712766+00:00,fault,18.964,24.477,46
112.0,2026-06-17T04:05:29.720612+00:00,fault,19.004,25.151,104
114.0,2026-06-17T04:05:31.726821+00:00,fault,18.96,21.45,105
116.0,2026-06-17T04:05:33.728120+00:00,fault,19.14,48.267,42
118.0,2026-06-17T04:05:35.745867+00:00,fault,18.824,22.023,107
120.0,2026-06-17T04:05:37.757254+00:00,fault,18.836,25.574,104
122.1,2026-06-17T04:05:39.775486+00:00,fault,19.016,23.047,47
124.1,2026-06-17T04:05:41.779269+00:00,fault,19.019,21.577,105
126.1,2026-06-17T04:05:43.788875+00:00,fault,19.039,23.023,104
128.1,2026-06-17T04:05:45.798584+00:00,fault,19.05,21.911,48
130.1,2026-06-17T04:05:47.811124+00:00,fault,19.007,22.047,105
132.1,2026-06-17T04:05:49.824356+00:00,fault,18.997,22.657,105
134.1,2026-06-17T04:05:51.836520+00:00,fault,19.047,22.283,48
136.1,2026-06-17T04:05:53.853949+00:00,fault,19.056,22.459,105
