t_s,wall,phase,tombstone_warn_total
0.0,2026-06-17T04:03:38.738934+00:00,baseline,0
6.0,2026-06-17T04:03:44.702347+00:00,baseline,0
12.0,2026-06-17T04:03:50.747228+00:00,baseline,0
18.0,2026-06-17T04:03:56.758507+00:00,baseline,0
24.0,2026-06-17T04:04:02.774049+00:00,baseline,0
30.0,2026-06-17T04:04:08.798425+00:00,baseline,0
36.0,2026-06-17T04:04:14.747295+00:00,baseline,0
42.0,2026-06-17T04:04:20.754096+00:00,baseline,0
48.0,2026-06-17T04:04:26.755399+00:00,baseline,0
54.0,2026-06-17T04:04:32.810048+00:00,baseline,0
60.0,2026-06-17T04:04:39.224440+00:00,fault,0
66.0,2026-06-17T04:04:44.832073+00:00,fault,57
72.0,2026-06-17T04:04:50.845245+00:00,fault,166
78.0,2026-06-17T04:04:56.861988+00:00,fault,299
84.1,2026-06-17T04:05:03.477162+00:00,fault,476
90.1,2026-06-17T04:05:08.816475+00:00,fault,677
96.1,2026-06-17T04:05:14.843534+00:00,fault,933
102.1,2026-06-17T04:05:20.856436+00:00,fault,1186
108.1,2026-06-17T04:05:26.887420+00:00,fault,1442
114.1,2026-06-17T04:05:32.895655+00:00,fault,1693
120.1,2026-06-17T04:05:38.872426+00:00,fault,1947
126.1,2026-06-17T04:05:44.860966+00:00,fault,2202
132.1,2026-06-17T04:05:50.882001+00:00,fault,2459
138.1,2026-06-17T04:05:56.995620+00:00,fault,2715
144.1,2026-06-17T04:06:03.006884+00:00,fault,2966
150.1,2026-06-17T04:06:09.326211+00:00,fault,3186
156.2,2026-06-17T04:06:14.996098+00:00,fault,3386
162.2,2026-06-17T04:06:20.969957+00:00,fault,3570
168.2,2026-06-17T04:06:26.954486+00:00,fault,3707
174.2,2026-06-17T04:06:32.947542+00:00,fault,3776
180.2,2026-06-17T04:06:39.167025+00:00,recovery,3798
186.2,2026-06-17T04:06:45.075880+00:00,recovery,3798
192.2,2026-06-17T04:06:51.009102+00:00,recovery,3798
198.2,2026-06-17T04:06:57.016165+00:00,recovery,3798
204.2,2026-06-17T04:07:03.053628+00:00,recovery,3798
210.2,2026-06-17T04:07:09.093977+00:00,recovery,3798
216.2,2026-06-17T04:07:15.215254+00:00,recovery,3798
222.2,2026-06-17T04:07:21.048048+00:00,recovery,3798
228.2,2026-06-17T04:07:27.024898+00:00,recovery,3798
234.2,2026-06-17T04:07:33.015496+00:00,recovery,3798
