t_s,wall,phase,sstable_count,tombstones_per_read_avg,tombstones_per_read_max,compaction_pending
0.0,2026-06-17T04:03:38.254814+00:00,baseline,2,1.0,1,0
6.0,2026-06-17T04:03:44.241323+00:00,baseline,2,1.0,1,0
12.0,2026-06-17T04:03:50.284799+00:00,baseline,2,1.0,1,0
18.0,2026-06-17T04:03:56.286121+00:00,baseline,2,1.0,1,0
24.0,2026-06-17T04:04:02.265489+00:00,baseline,2,1.0,1,0
30.0,2026-06-17T04:04:08.305494+00:00,baseline,2,1.0,1,0
36.0,2026-06-17T04:04:14.282290+00:00,baseline,2,1.0,1,0
42.0,2026-06-17T04:04:20.287360+00:00,baseline,2,1.0,1,0
48.0,2026-06-17T04:04:26.276846+00:00,baseline,2,1.0,1,0
54.0,2026-06-17T04:04:32.295098+00:00,baseline,2,1.0,1,0
60.0,2026-06-17T04:04:38.323189+00:00,fault,2,1.0,1,0
66.0,2026-06-17T04:04:44.329876+00:00,fault,2,112.84137931034483,20501,0
72.0,2026-06-17T04:04:50.335955+00:00,fault,2,356.5020702709097,20501,0
78.0,2026-06-17T04:04:56.345748+00:00,fault,2,644.852157943067,20501,0
84.1,2026-06-17T04:05:02.952247+00:00,fault,2,1033.5614643976712,20501,0
90.1,2026-06-17T04:05:08.330489+00:00,fault,3,1458.0867184933757,20501,0
96.1,2026-06-17T04:05:14.350913+00:00,fault,3,2107.7076402593743,20501,0
102.1,2026-06-17T04:05:20.356771+00:00,fault,3,2741.0958214237103,20501,0
108.1,2026-06-17T04:05:26.364523+00:00,fault,3,3339.088123109299,20501,0
114.1,2026-06-17T04:05:32.373291+00:00,fault,3,3887.7629735752944,20501,0
120.1,2026-06-17T04:05:38.368815+00:00,fault,3,4533.381425948593,20501,0
126.1,2026-06-17T04:05:44.366022+00:00,fault,3,5132.960683257253,20501,0
132.1,2026-06-17T04:05:50.393889+00:00,fault,3,5709.754421768707,20501,0
138.1,2026-06-17T04:05:56.402415+00:00,fault,3,6326.8598435462845,20501,0
144.1,2026-06-17T04:06:02.413524+00:00,fault,3,6883.883356818537,20501,0
150.1,2026-06-17T04:06:08.694730+00:00,fault,3,7396.971503957784,20501,0
156.2,2026-06-17T04:06:14.492985+00:00,fault,3,7808.106931028639,20501,0
162.2,2026-06-17T04:06:20.472340+00:00,fault,3,8086.638125115335,20501,0
168.2,2026-06-17T04:06:26.435262+00:00,fault,3,8135.848267413371,20501,0
174.2,2026-06-17T04:06:32.438544+00:00,fault,3,7911.687534728653,20501,0
180.2,2026-06-17T04:06:38.564437+00:00,recovery,3,7465.67599922765,20501,0
186.2,2026-06-17T04:06:44.554499+00:00,recovery,1,6030.250935745477,20501,0
192.2,2026-06-17T04:06:50.509677+00:00,recovery,1,5086.711555169418,20501,0
198.2,2026-06-17T04:06:56.493273+00:00,recovery,1,4406.541797783554,20501,0
204.2,2026-06-17T04:07:02.534759+00:00,recovery,1,3804.503452685422,20501,0
210.2,2026-06-17T04:07:08.466574+00:00,recovery,1,3376.742424242424,20501,0
216.2,2026-06-17T04:07:14.653384+00:00,recovery,1,3000.074435915329,20501,0
222.2,2026-06-17T04:07:20.540601+00:00,recovery,1,2698.7575148061237,20501,0
228.2,2026-06-17T04:07:26.516140+00:00,recovery,1,2391.2329862206793,20501,0
234.2,2026-06-17T04:07:32.512931+00:00,recovery,1,2116.4613262390385,20501,0
